139.80014 Framedifference 7   Time 37099
141.6567 Framedifference 6   Time 37105
144.22874 Framedifference 6   Time 37111
146.45654 Framedifference 6   Time 37117
146.7225 Framedifference 7   Time 37124
145.80077 Framedifference 7   Time 37131
143.08873 Framedifference 8   Time 37139
145.11441 Framedifference 6   Time 37145
146.1138 Framedifference 7   Time 37152
142.79509 Framedifference 9   Time 37161
144.2172 Framedifference 6   Time 37167
146.26016 Framedifference 6   Time 37173
145.15619 Framedifference 8   Time 37181
147.66867 Framedifference 5   Time 37186
148.58073 Framedifference 7   Time 37193
144.95558 Framedifference 9   Time 37202
146.17111 Framedifference 6   Time 37208
145.37067 Framedifference 7   Time 37215
146.42679 Framedifference 7   Time 37222
143.8111 Framedifference 8   Time 37230
145.1937 Framedifference 6   Time 37236
147.88474 Framedifference 6   Time 37242
148.84726 Framedifference 6   Time 37248
150.09671 Framedifference 7   Time 37255
148.48157 Framedifference 7   Time 37262
148.01683 Framedifference 7   Time 37269
147.00012 Framedifference 7   Time 37276
148.05048 Framedifference 7   Time 37283
148.94263 Framedifference 6   Time 37289
147.73145 Framedifference 7   Time 37296
150.38446 Framedifference 6   Time 37302
151.1531 Framedifference 7   Time 37309
152.51917 Framedifference 5   Time 37314
152.68138 Framedifference 7   Time 37321
152.40498 Framedifference 7   Time 37328
153.65002 Framedifference 6   Time 37334
152.02829 Framedifference 7   Time 37341
149.46008 Framedifference 8   Time 37349
146.933 Framedifference 8   Time 37357
148.83026 Framedifference 6   Time 37363
146.79463 Framedifference 8   Time 37371
148.8917 Framedifference 6   Time 37377
150.33163 Framedifference 6   Time 37383
152.77765 Framedifference 5   Time 37388
150.1751 Framedifference 8   Time 37396
151.59802 Framedifference 7   Time 37403
153.29439 Framedifference 5   Time 37408
154.57103 Framedifference 6   Time 37414
156.3814 Framedifference 6   Time 37420
153.60927 Framedifference 8   Time 37428
152.39066 Framedifference 7   Time 37435
153.82571 Framedifference 6   Time 37441
155.12439 Framedifference 6   Time 37447
156.69518 Framedifference 6   Time 37453
156.93317 Framedifference 6   Time 37459
157.17722 Framedifference 6   Time 37465
157.97989 Framedifference 6   Time 37471
158.26825 Framedifference 7   Time 37478
159.57034 Framedifference 5   Time 37483
159.90836 Framedifference 7   Time 37490
158.41678 Framedifference 7   Time 37497
158.37708 Framedifference 6   Time 37503
158.15688 Framedifference 7   Time 37510
158.22282 Framedifference 6   Time 37516
159.84772 Framedifference 6   Time 37522
157.26668 Framedifference 7   Time 37529
157.23154 Framedifference 6   Time 37535
156.66356 Framedifference 7   Time 37542
156.65288 Framedifference 7   Time 37549
157.67453 Framedifference 6   Time 37555
156.99786 Framedifference 6   Time 37561
157.67305 Framedifference 7   Time 37568
155.11548 Framedifference 7   Time 37575
157.11838 Framedifference 6   Time 37581
158.35634 Framedifference 5   Time 37586
159.06349 Framedifference 7   Time 37593
158.35596 Framedifference 6   Time 37599
159.02888 Framedifference 6   Time 37605
159.13521 Framedifference 6   Time 37611
161.07066 Framedifference 6   Time 37617
161.07715 Framedifference 6   Time 37623
158.15198 Framedifference 8   Time 37631
159.45518 Framedifference 6   Time 37637
155.4744 Framedifference 8   Time 37645
156.74033 Framedifference 6   Time 37651
159.07657 Framedifference 5   Time 37656
157.44249 Framedifference 7   Time 37663
157.5406 Framedifference 7   Time 37670
158.05106 Framedifference 6   Time 37676
158.96289 Framedifference 6   Time 37682
160.70842 Framedifference 6   Time 37688
158.19058 Framedifference 7   Time 37695
159.34341 Framedifference 6   Time 37701
161.88008 Framedifference 5   Time 37706
163.71896 Framedifference 6   Time 37712
163.93199 Framedifference 6   Time 37718
165.43109 Framedifference 5   Time 37723
162.75568 Framedifference 7   Time 37730
164.55371 Framedifference 6   Time 37736
165.97919 Framedifference 6   Time 37742
165.64172 Framedifference 6   Time 37748
167.72847 Framedifference 5   Time 37753
168.08603 Framedifference 6   Time 37759
166.69946 Framedifference 6   Time 37765
168.0931 Framedifference 6   Time 37771
167.53342 Framedifference 6   Time 37777
168.46982 Framedifference 6   Time 37783
168.21199 Framedifference 6   Time 37789
167.677 Framedifference 6   Time 37795
168.67224 Framedifference 5   Time 37800
169.24829 Framedifference 6   Time 37806
169.5521 Framedifference 6   Time 37812
171.00002 Framedifference 6   Time 37818
171.27733 Framedifference 5   Time 37823
166.90927 Framedifference 8   Time 37831
(time 37831- lastadded -60)      true
Circle added
(time 37831- lastadded -60)      true
Circle added
(time 37831- lastadded -60)      true
Circle added
(time 37831- lastadded -60)      true
Circle added
(time 37831- lastadded -60)      true
Circle added
165.16591 Framedifference 7   Time 37838
(time 37838- lastadded 37831)      false
(time 37838- lastadded 37831)      false
(time 37838- lastadded 37831)      false
(time 37838- lastadded 37831)      false
(time 37838- lastadded 37831)      false
158.9631 Framedifference 9   Time 37847
158.15874 Framedifference 7   Time 37854
156.56033 Framedifference 7   Time 37861
156.05948 Framedifference 7   Time 37868
